Mid,H2H_date,H2H_time,H2H_total_t1,H2H_total_t2
371292,2020-03-17,13:10:00,2.0,0.0
371016,2020-04-04,14:25:00,2.0,1.0
371016,2020-03-27,16:15:00,2.0,0.0
371016,2020-03-22,16:10:00,1.0,2.0
371016,2020-02-15,16:00:00,1.0,2.0
371016,2020-02-12,13:20:00,2.0,0.0
371296,2020-04-07,12:25:00,1.0,2.0
370995,2020-04-17,18:15:00,0.0,2.0
370995,2019-06-26,10:30:00,0.0,2.0
370995,2019-05-31,13:36:13,2.0,0.0
370995,2019-05-10,15:00:00,2.0,0.0
370995,2019-02-19,11:04:21,1.0,1.0
371289,2020-03-18,16:10:00,2.0,0.0
371172,2020-04-20,14:05:00,0.0,2.0
371172,2020-04-17,14:10:00,2.0,0.0
371447,2018-06-18,16:47:28,0.0,1.0
371447,2018-02-08,02:00:27,1.0,2.0
371447,2017-06-28,20:53:23,0.0,2.0
371447,2017-06-27,21:18:42,0.0,1.0
371419,2020-04-15,20:05:00,1.0,2.0
371419,2020-03-29,16:10:00,0.0,2.0
371429,2020-04-21,05:00:00,0.0,2.0
371429,2020-04-14,05:10:00,2.0,0.0
371429,2020-04-03,02:45:00,0.0,2.0
371429,2020-03-19,11:35:00,1.0,2.0
371429,2020-02-26,02:45:00,2.0,0.0
371250,2020-04-02,09:05:00,2.0,0.0
371250,2020-02-26,03:15:00,2.0,0.0
371349,2020-04-09,07:10:00,1.0,2.0
371349,2020-04-05,08:20:00,3.0,1.0
371349,2020-04-01,12:25:00,2.0,0.0
371349,2020-02-14,12:35:00,2.0,0.0
371349,2019-12-03,10:00:00,2.0,0.0
371334,2020-04-14,07:10:00,1.0,2.0
371334,2020-04-01,06:00:00,2.0,0.0
371334,2020-03-28,12:10:00,0.0,2.0
371334,2019-12-01,06:10:02,1.0,1.0
371334,2019-10-19,09:32:02,2.0,0.0
370094,2020-04-08,11:20:00,1.0,2.0
370094,2019-12-29,06:10:00,0.0,2.0
370094,2019-10-06,06:42:02,1.0,1.0
370094,2019-05-17,04:00:00,0.0,1.0
370094,2019-03-30,08:13:02,2.0,1.0
371438,2020-04-21,13:15:00,2.0,0.0
371438,2020-04-10,11:35:00,2.0,0.0
371438,2020-03-05,02:40:00,1.0,2.0
371438,2020-01-08,10:45:00,0.0,2.0
371438,2019-12-23,05:55:00,0.0,2.0
371404,2020-04-07,08:15:00,1.0,1.0
371197,2020-04-14,10:10:00,0.0,2.0
371252,2020-04-20,10:30:00,2.0,1.0
371252,2020-04-08,06:20:00,1.0,2.0
371252,2020-04-06,06:05:00,0.0,2.0
371252,2020-02-13,07:25:00,1.0,0.0
371252,2019-12-11,05:00:00,2.0,1.0
371009,2020-02-11,13:35:00,2.0,0.0
370078,2020-03-29,07:15:00,1.0,2.0
370078,2019-11-03,06:48:02,2.0,0.0
370078,2019-10-15,08:26:46,0.0,2.0
371360,2020-04-25,08:00:00,2.0,1.0
371360,2020-02-16,05:10:00,0.0,1.0
371360,2020-02-15,08:25:00,1.0,1.0
371360,2019-12-29,05:05:00,1.0,2.0
371360,2019-12-11,14:00:00,0.0,1.0
370712,2020-04-29,11:10:00,2.0,1.0
370712,2020-04-05,12:35:00,0.0,2.0
370993,2020-04-05,15:50:00,2.0,0.0
370993,2019-08-24,09:40:00,0.0,2.0
370993,2019-08-15,11:21:02,2.0,0.0
370993,2019-05-12,15:00:00,3.0,1.0
370993,2019-03-15,12:30:00,2.0,0.0
370729,2020-02-29,12:10:00,2.0,0.0
371015,2019-12-20,03:25:00,0.0,2.0
371015,2019-12-01,15:10:02,2.0,0.0
371015,2019-08-16,06:10:02,2.0,0.0
371015,2019-05-25,14:41:13,1.0,2.0
371015,2018-09-16,09:55:35,0.0,2.0
371420,2020-04-29,00:05:00,2.0,0.0
371420,2020-04-23,20:05:00,2.0,1.0
371420,2020-04-14,20:05:00,2.0,1.0
371420,2020-03-31,16:15:00,2.0,1.0
371449,2020-03-22,01:00:00,2.0,0.0
371449,2020-03-20,02:55:00,2.0,0.0
371449,2020-02-09,17:45:00,1.0,1.0
371449,2019-10-06,21:10:03,1.0,1.0
371307,2020-03-23,12:20:00,2.0,1.0
371165,2020-04-18,14:00:00,1.0,0.0
371274,2020-04-06,05:05:00,2.0,0.0
371264,2020-02-29,05:40:00,1.0,1.0
371502,2020-01-03,13:40:00,1.0,0.0
371502,2019-12-28,15:05:00,0.0,1.0
371505,2020-01-03,14:30:00,0.0,1.0
371505,2019-12-21,14:00:00,0.0,1.0
371516,2020-01-04,13:30:00,1.0,0.0
371516,2019-12-17,13:40:00,1.0,0.0
371525,2020-01-04,14:05:00,1.0,0.0
371525,2019-12-17,14:30:00,1.0,0.0
371274,2020-04-06,05:05:00,2.0,0.0
371264,2020-02-29,05:40:00,1.0,1.0
371479,2020-04-16,11:40:00,0.0,2.0
371479,2020-04-03,09:10:00,0.0,2.0
371479,2020-03-30,12:10:00,1.0,2.0
371479,2020-03-27,06:45:00,2.0,0.0
371479,2019-12-26,06:15:00,1.0,2.0
371272,2020-03-13,09:10:00,2.0,0.0
371324,2020-03-27,11:00:00,2.0,1.0
371324,2020-03-01,07:35:00,3.0,1.0
371324,2020-02-28,09:00:00,2.0,0.0
371324,2019-12-23,06:20:00,1.0,2.0
371324,2019-11-03,08:53:02,1.0,0.0
371235,2020-04-17,08:05:00,1.0,1.0
370063,2020-04-29,08:10:00,2.0,0.0
370063,2018-11-21,09:05:03,2.0,0.0
370063,2018-03-16,06:01:13,2.0,0.0
371478,2020-04-26,08:05:00,2.0,1.0
371478,2020-04-14,11:05:00,2.0,1.0
371478,2020-02-19,05:10:00,2.0,1.0
371478,2020-02-18,05:15:00,2.0,1.0
371478,2020-01-08,09:10:00,2.0,0.0
371526,2020-04-26,04:10:00,2.0,1.0
371526,2019-07-11,12:38:01,1.0,0.0
371526,2019-06-20,09:00:00,1.0,0.0
371265,2020-03-16,03:05:00,2.0,0.0
371265,2020-02-27,03:10:00,2.0,0.0
371393,2020-04-09,07:50:00,2.0,0.0
371393,2020-02-06,11:10:00,2.0,1.0
371393,2020-02-04,10:30:00,1.0,1.0
371393,2019-12-06,05:05:00,1.0,2.0
371393,2019-12-05,05:00:00,1.0,2.0
371532,2020-04-26,04:10:00,2.0,1.0
371532,2019-07-11,12:38:01,1.0,0.0
371532,2019-06-20,09:00:00,1.0,0.0
371393,2020-04-09,07:50:00,2.0,0.0
371393,2020-02-06,11:10:00,2.0,1.0
371393,2020-02-04,10:30:00,1.0,1.0
371393,2019-12-06,05:05:00,1.0,2.0
371393,2019-12-05,05:00:00,1.0,2.0
371276,2020-04-07,03:20:00,2.0,1.0
371276,2020-02-01,05:05:00,2.0,0.0
371032,2020-04-08,09:05:00,2.0,1.0
371335,2020-04-09,11:05:00,2.0,0.0
371335,2020-04-01,11:50:00,2.0,0.0
371335,2020-03-30,12:05:00,0.0,2.0
371335,2020-02-15,06:20:00,2.0,0.0
371335,2020-01-04,09:05:00,1.0,2.0
371470,2020-04-06,14:10:00,2.0,1.0
371470,2020-03-23,15:25:00,2.0,0.0
370731,2020-04-21,17:40:00,1.0,2.0
370731,2020-04-14,16:10:00,2.0,1.0
370731,2020-04-10,14:05:00,2.0,0.0
370731,2020-03-15,18:10:00,0.0,2.0
371304,2020-04-28,11:10:00,0.0,2.0
371022,2020-02-27,14:10:00,2.0,0.0
371022,2019-11-03,13:05:47,0.0,2.0
371022,2019-07-07,13:30:00,0.0,1.0
371004,2020-03-21,16:10:00,2.0,0.0
371004,2020-02-10,17:10:00,1.0,1.0
371004,2019-08-25,08:24:00,1.0,3.0
371004,2019-05-30,14:00:00,1.0,1.0
371004,2019-05-11,08:00:00,2.0,1.0
371167,2020-04-25,16:00:00,2.0,1.0
371246,2020-04-18,18:05:00,1.0,1.0
371246,2020-01-30,22:10:00,0.0,2.0
371246,2019-12-03,04:00:00,1.0,0.0
371246,2019-12-02,17:51:02,0.0,2.0
371246,2019-10-29,20:21:02,0.0,2.0
371058,2020-04-29,19:25:00,2.0,1.0
371259,2020-03-13,05:30:00,0.0,2.0
371618,2020-04-20,10:20:00,2.0,0.0
371484,2020-04-17,12:05:00,2.0,0.0
371484,2020-04-01,06:05:00,2.0,1.0
371484,2020-03-23,12:25:00,0.0,2.0
371484,2020-01-02,06:05:00,0.0,2.0
371484,2019-12-02,06:43:02,1.0,1.0
371263,2020-04-22,03:05:00,2.0,0.0
371573,2020-04-21,08:05:00,1.0,2.0
371573,2020-02-29,07:30:00,1.0,1.0
371573,2019-10-19,10:34:57,0.0,2.0
371654,2020-04-26,20:10:00,3.0,1.0
371654,2020-04-25,17:05:00,0.0,2.0
371654,2020-04-17,20:05:00,0.0,2.0
371654,2020-04-02,19:50:00,3.0,1.0
371654,2020-03-28,17:05:00,1.0,2.0
371573,2020-04-21,08:05:00,1.0,2.0
371573,2020-02-29,07:30:00,1.0,1.0
371573,2019-10-19,10:34:57,0.0,2.0
370076,2020-04-11,05:10:00,1.0,2.0
371477,2020-04-28,08:10:00,2.0,1.0
371477,2020-04-19,11:55:00,1.0,2.0
371477,2020-04-02,09:10:00,1.0,2.0
371477,2019-12-27,09:05:00,2.0,0.0
371477,2019-05-16,03:30:00,1.0,0.0
371253,2020-04-23,06:45:00,2.0,0.0
371253,2020-04-07,09:00:00,2.0,0.0
371253,2020-04-03,07:15:00,1.0,1.0
371253,2019-12-31,06:20:00,2.0,1.0
371381,2020-04-16,08:50:00,0.0,2.0
371587,2020-03-26,07:10:00,2.0,1.0
371587,2020-02-21,07:10:00,1.0,1.0
371330,2020-04-10,11:15:00,2.0,0.0
371330,2019-10-19,06:10:03,1.0,2.0
371330,2019-05-16,03:30:00,1.0,0.0
371330,2019-05-09,16:00:00,2.0,0.0
371330,2019-03-31,06:33:05,0.0,2.0
370072,2020-04-01,07:10:00,0.0,2.0
371487,2020-05-01,11:25:00,2.0,1.0
371487,2020-04-09,11:05:00,0.0,2.0
371487,2020-04-01,11:50:00,0.0,2.0
371487,2020-03-30,12:05:00,2.0,0.0
371487,2020-02-15,06:20:00,0.0,2.0
371581,2020-04-30,12:00:00,1.0,1.0
371581,2020-04-20,10:30:00,2.0,1.0
371581,2020-04-08,06:20:00,1.0,2.0
371581,2020-04-06,06:05:00,0.0,2.0
371581,2020-02-13,07:25:00,1.0,0.0
371116,2020-04-13,16:20:00,1.0,2.0
370711,2020-04-08,12:10:00,2.0,0.0
370711,2020-02-28,12:10:00,2.0,0.0
370711,2020-02-12,08:10:00,2.0,0.0
370711,2020-02-09,17:55:00,2.0,0.0
371308,2020-04-20,10:05:00,2.0,1.0
371309,2020-04-30,16:10:00,0.0,2.0
370716,2020-04-02,15:40:00,2.0,0.0
371012,2020-04-05,18:20:00,1.0,2.0
371012,2020-02-10,19:05:00,0.0,2.0
371012,2019-10-19,17:40:02,2.0,0.0
371012,2019-10-06,12:43:02,2.0,0.0
371012,2019-06-16,14:00:00,2.0,3.0
371527,2020-03-10,20:20:00,1.0,0.0
371472,2020-04-30,10:10:00,2.0,1.0
371452,2020-04-13,23:00:00,2.0,0.0
371452,2020-03-28,13:10:00,1.0,2.0
371452,2020-03-23,19:10:00,2.0,0.0
371452,2020-02-12,20:50:00,2.0,0.0
