Mid,T1name,T2name,T1logo,T2logo,Mstatus,T1score,T2score,Mdate,Mtime,Mtour,Mtypes,WR,FB,F10,WR2,FB2,F102,P11,P12,P13,P14,P15,P21,P22,P23,P24,P25,P11_photo,P12_photo,P13_photo,P14_photo,P15_photo,P21_photo,P22_photo,P23_photo,P24_photo,P25_photo,P11_score,P12_score,P13_score,P14_score,P15_score,P21_score,P22_score,P23_score,P24_score,P25_score,TIME,Video
372436,Dark Knight,iG Vitality,https://ru.dltv.org/storage/app/uploads/public/e1c/3af/fae/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/dbd/f5e/6b9/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-18,08:00:00,Huya World E-sports Legendary League: China Qualifier,Best of 2,36%,46%,49%,49%,51%,50%,vvv,DK.oky,Arthas,,DK.,Doodle,QYQX,Dust,Beyond,ButterflyEffect,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ed8/307/f9e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ba4/bdb/210/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ce9/7ef/4bd/thumb__300_300_0_0_auto.png,-,41,1639,3819,-,208,621,31,-,-,2020-05-18 08:00:00+03:00,fanat_marvel
372134,TBD,Aster.Aries,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/7d1/960/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-18,09:00:00,Vulcan Champion League 2,Best of 3,,,,43%,48%,48%,,,,,,Rico,Lww,7e,生死,harutya,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,-,-,-,183,289,272,34,258,2020-05-18 09:00:00+03:00,deco1tv
372471,Execration,LGD.international,https://ru.dltv.org/storage/app/uploads/public/a5f/e2d/e07/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/65b/372/74e/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-18,09:00:00,SDI SEA Schedule,Best of 3,47%,57%,43%,51%,55%,55%,Bhm,Rr,yaha,Palos,88rising,BrayaNt`,rayy,Gy,Ms,呀。,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,404,243,301,29,-,-,151,-,121,-,2020-05-18 09:00:00+03:00,flunkyflame
372428,Aster.Aries,Buffalo Team,https://ru.dltv.org/storage/app/uploads/public/ef3/7d1/960/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/336/4f9/869/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-18,10:00:00,Huya World E-sports Legendary League: China Qualifier,Best of 2,43%,48%,48%,52%,49%,44%,Rico,Lww,7e,生死,harutya,黑猫,Remond,星际伍仔,Boom ShaKaLakA,(not found),https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,183,289,272,34,258,-,-,-,-,-,2020-05-18 10:00:00+03:00,
371209,Flashpoint Gaming,Sweaty Soldiers,https://ru.dltv.org/storage/app/uploads/public/545/833/d12/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/49f/f11/493/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-18,11:00:00,Oceanic Esports League,Best of 2,86%,55%,67%,42%,50%,44%,Kouros1ve,TEKCOR,Game is hard,GACHI,davis,rizz,cosicosi7,Lon,mishap,Keslyboy,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,923,354,3921,1406,281,165,378,702,1864,1342,2020-05-18 11:00:00+03:00,oceanicesports_dota
370040,Vici Gaming Potential,Aster.Aries,https://ru.dltv.org/storage/app/uploads/public/186/52a/0a7/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ef3/7d1/960/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-18,11:00:00,China Dota2 Development League Season 3,Best of 3,24%,52%,35%,43%,48%,48%,恶意,yogi,MiDong,AFterRain-,.....,Rico,Lww,7e,生死,harutya,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,129,263,-,4030,183,289,272,34,258,2020-05-18 11:00:00+03:00,kvyzee
371320,Sparking Arrow Gaming,EHOME,https://ru.dltv.org/storage/app/uploads/public/618/b7f/26a/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f96/bb8/3a4/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-18,11:00:00,DPL-CDA Professional League Season 1,Best of 3,62%,55%,54%,51%,49%,47%,Redpanda,Felixciaoba,OpGod,圣子华炼God-King-SzhL,DD斬首,Sylar,y`,Faith_bian,XinQ,NothingToSay,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b46/120/e23/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/f25/8b5/026/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/236/edf/19e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/469/758/49f/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/38b/3f9/33b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,80,-,-,292,178,7,44,1,2020-05-18 11:00:00+03:00,beyondthesummit
372541,Immortal Gaming,Team Sincere,https://ru.dltv.org/storage/app/uploads/public/c3e/ac4/df1/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/93b/64f/4f4/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-18,08:30:00,Asia Challenger League Season 9,Best of 3,50%,46%,50%,46%,54%,54%,sohaya,ZUMA,ROLLER,AMG63,DDD,m,RAIN,RADIOACTIVE,ACH,LUN,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,-,-,2947,552,-,-,-,-,2020-05-18 08:30:00+03:00,m3traneo
371320,EHOME,Sparking Arrow Gaming,https://ru.dltv.org/storage/app/uploads/public/f96/bb8/3a4/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/618/b7f/26a/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-18,11:00:00,DPL-CDA Professional League Season 1,Best of 3,51%,49%,47%,62%,55%,54%,Sylar,y`,Faith_bian,XinQ,NothingToSay,Redpanda,Felixciaoba,OpGod,圣子华炼God-King-SzhL,DD斬首,https://ru.dltv.org/storage/app/uploads/public/f25/8b5/026/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/236/edf/19e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/469/758/49f/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/38b/3f9/33b/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b46/120/e23/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,293,179,7,43,1,-,44,79,-,-,2020-05-18 11:00:00+03:00,beyondthesummit
372493,Future.club,WOLF,https://ru.dltv.org/storage/app/uploads/public/7a5/539/8cd/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/47e/fef/8f9/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-18,11:30:00,Red Star Cup Season 6,Best of 3,48%,52%,51%,47%,48%,52%,(not found),76561198253970941,mlsione-skw,....,1,ASUNA,AZUR6,INSIDIOUSC,WOLF.Prettygial,(not found),https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,-,3990,4451,-,-,-,-,-,2020-05-18 11:30:00+03:00,pavagagg
372566,Team Brave,Cobra Gaming,https://ru.dltv.org/storage/app/uploads/public/01d/ba7/3b0/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/efe/ff1/705/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-18,11:30:00,Asia Challenger League Season 9,Best of 3,48%,50%,48%,50%,52%,53%,pandapia,Alan,3154,Airwings,iLLusion,ZY-,YYY,nikii,JOJO,Manta-,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,-,-,-,-,-,2530,-,2361,-,2020-05-18 11:30:00+03:00,m3traneo
372304,OG,Vikin.gg,https://ru.dltv.org/storage/app/uploads/public/842/59c/acf/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9d4/c53/8f1/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-18,12:00:00,OGA Dota PIT 2020 Online: Europe/CIS,Best of 3,66%,48%,54%,64%,48%,54%,N0tail,Ceb,Saksa,SumaiL-,midone,Seleri,BOOM,Aramis,Tobi,Shad,https://ru.dltv.org/storage/app/uploads/public/839/17e/511/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/6ac/e40/eaa/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/113/4a8/690/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b89/59c/f40/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/154/c78/e9e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,188,2153,11,1,43,194,115,176,22,47,2020-05-18 12:00:00+03:00,ogadotapit
372136,Ocean,TBD,https://ru.dltv.org/storage/app/uploads/public/ddb/f51/e19/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-18,09:00:00,Vulcan Champion League 2,Best of 3,56%,55%,59%,,,,Fame,Xmy,Ola,zc,MasteR.,,,,,,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,https://ru.dltv.org/storage/app/uploads/public/ad5/605/721/thumb__300_300_0_0_auto.jpg,156,354,173,102,-,-,-,-,-,-,2020-05-18 09:00:00+03:00,deco1tv
372304,OG,Vikin.gg,https://ru.dltv.org/storage/app/uploads/public/842/59c/acf/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/9d4/c53/8f1/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-18,12:00:00,OGA Dota PIT 2020 Online: Europe/CIS,Best of 3,66%,48%,54%,64%,48%,54%,N0tail,Ceb,Saksa,SumaiL-,midone,Seleri,BOOM,Aramis,Tobi,Shad,https://ru.dltv.org/storage/app/uploads/public/839/17e/511/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/6ac/e40/eaa/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/113/4a8/690/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b89/59c/f40/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/154/c78/e9e/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,188,2153,11,1,43,194,115,176,22,47,2020-05-18 12:00:00+03:00,ogadotapit
372432,Blaze,Buffalo Team,https://ru.dltv.org/storage/app/uploads/public/d2f/3e2/d5f/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/336/4f9/869/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-18,12:00:00,Huya World E-sports Legendary League: China Qualifier,Best of 2,56%,52%,49%,52%,49%,44%,Kazz,xixi,xy11,Xhd♡Cy,po3,黑猫,Remond,星际伍仔,Boom ShaKaLakA,(not found),https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,201,224,1061,157,181,-,-,-,-,-,2020-05-18 12:00:00+03:00,
372453,The Boys,LGD.international,https://ru.dltv.org/storage/app/uploads/public/804/b85/de4/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/65b/372/74e/thumb__100_100_0_0_auto.png,Live,0,1,2020-05-18,12:00:00,SDI SEA Schedule,Best of 3,48%,59%,54%,51%,55%,55%,SeeL,Magical,Standin.Secret,Cò,Bird of Hermes,BrayaNt`,rayy,Gy,Ms,呀。,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,1217,203,147,-,-,151,-,120,-,2020-05-18 12:00:00+03:00,23creativevn
370760,Sincerely Fury,Benny Brian,https://ru.dltv.org/storage/app/uploads/public/836/c7b/7c6/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/aeb/286/2c1/thumb__100_100_0_0_auto.png,Live,1,0,2020-05-18,13:00:00,Oceanic Esports League,Best of 2,71%,20%,47%,42%,53%,45%,Farmer John,miggeL.Z,Explosiv_Fury,Zellyfish,Grannythighs,FaNtaSy-,ygod,Masiwei,Kesss,sry im noob|bu one|F18|桃子不好吃,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,178,285,494,1387,817,683,183,-,1251,-,2020-05-18 13:00:00+03:00,oceanicesports_dota
370035,Vici Gaming Potential,Typhoon E-Sports,https://ru.dltv.org/storage/app/uploads/public/186/52a/0a7/thumb__100_100_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/887/46a/a42/thumb__100_100_0_0_auto.png,Live,1,1,2020-05-18,14:00:00,China Dota2 Development League Season 3,Best of 3,24%,52%,35%,45%,45%,46%,恶意,yogi,MiDong,AFterRain-,.....,Azreal,Yci,DLD,粉刷匠,-w-,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,https://ru.dltv.org/storage/app/uploads/public/b44/c93/803/thumb__300_300_0_0_auto.png,-,128,264,-,4023,197,-,-,127,-,2020-05-18 14:00:00+03:00,pro_cast2
